feature,ai_variance,human_variance,variance_ratio,levene_statistic,levene_pvalue,significant,ai_more_homogeneous
ioi_std,1.1665176573152698,0.9373044073171926,1.2445451533233955,0.044135819425511945,0.8347235106748685,False,False
mfcc_6_mean,1.1628057313363798,0.9094104710263939,1.2786368404401531,0.13747688094288862,0.7128613504537734,False,False
mfcc_8_std,1.1277318278575172,0.8519839559055583,1.3236538317894397,0.006883939257501043,0.9343113124040384,False,False
mfcc_5_std,1.2389310386091725,0.8237426762508273,1.5040267723508374,2.098777839390804,0.15561915143312738,False,False
mfcc_9_std,1.1814680526079147,0.7472439741927587,1.5811008096575747,1.1854958277784167,0.2830972431831307,False,False
mfcc_10_mean,1.2301909878565032,0.7746168620224247,1.5881283356582674,1.7337518399262979,0.19581870872768586,False,False
zero_crossing_rate_std,1.1137894735590608,0.6238257745696828,1.7854175299623627,0.16300136119707764,0.6886712165036628,False,False
mfcc_4_std,1.3459231363439326,0.7347125173740706,1.8319044585688893,1.1990525091284765,0.28040326795007986,False,False
mfcc_0_std,1.3907676934050073,0.6852611989467193,2.029543910471929,0.8402395116637194,0.36510936684617956,False,False
spectral_flatness_std,1.2420735727918668,0.5491086460096284,2.261981452701598,0.7542312334288488,0.39059193734804676,False,False
mfcc_10_std,1.4659366433125378,0.6073437337395354,2.4136853018742386,2.0940940619948454,0.15606906231289136,False,False
mfcc_4_mean,1.2841656710903155,0.5145177507007667,2.495862716769826,2.0720536578703905,0.15820685918369762,False,False
ioi_cv,1.5512365300028814,0.48061740645847395,3.227591238181488,2.0359344428666115,0.1617853017478324,False,False
dynamic_range_db,0.0,0.0,,,,False,False
