feature,ai_variance,human_variance,variance_ratio,levene_statistic,levene_pvalue,f_statistic,f_pvalue,significant,ai_lower_variance,levene_p_fdr,significant_fdr
mfcc_2_mean,0.5759742899358129,1.249019338084023,0.46114121084734266,5.8563815234441545,0.01704610255147282,0.46114121084734266,0.003448690701670886,True,True,0.04568355483794716,True
mfcc_delta_std,0.6425637909454424,1.320649348857758,0.48655140102193045,6.209120304620314,0.014098270892784119,0.48655140102193045,0.006405400514878054,True,True,0.04106887607897982,True
chroma_stft_mean,0.6298338779909743,1.2766240595928868,0.4933589283847801,4.1476223837338,0.04393111997781223,0.4933589283847801,0.0074786577319249665,True,True,0.08919348601555817,False
onset_strength_mean,0.500832633617749,1.0133756115054684,0.49422211066804067,4.80026879419789,0.03042047925834295,0.49422211066804067,0.007624622324774462,True,True,0.07091007481702997,False
mfcc_3_std,0.5826497160048777,1.1642857852157456,0.5004353084126257,10.74711228315034,0.0013725233192562292,0.5004353084126257,0.008745017592139812,True,True,0.007073774030012873,True
chroma_stft_var,0.46314808150294123,0.9193131118078339,0.5037979721535334,1.814114888535766,0.18059648198063713,0.5037979721535334,0.009404813466747429,False,True,0.2574460487809082,False
zero_crossing_rate_std,0.6824379535846137,1.3273387173703488,0.5141400191630231,3.721117537080598,0.0561298666248194,0.5141400191630231,0.011689496032181572,False,True,0.1044639184406361,False
mfcc_11_std,0.69261356950257,1.3377176012470533,0.5177576858201601,5.303696262090095,0.02303180830798791,0.5177576858201601,0.012586179555619107,True,True,0.05715300580130333,False
mfcc_11_mean,0.6649642723038005,1.2729081388893149,0.5223976907587533,4.530616048479832,0.03537329368139527,0.5223976907587533,0.013815643010082163,True,True,0.07645195731140267,False
mfcc_10_mean,0.6893008361971352,1.3091170665716705,0.5265387288871601,4.784293329315555,0.03069242044319208,0.5265387288871601,0.014991728425500889,True,True,0.07091007481702997,False
mfcc_12_std,0.7046042199643153,1.3292428672072425,0.5300793687497444,5.905359472359035,0.01660094774321663,0.5300793687497444,0.0160588966852744,True,True,0.04568355483794716,True
mfcc_4_mean,0.6179732480053721,1.1572807717754874,0.5339873115296683,3.817452862771119,0.05308757845009274,0.5339873115296683,0.017305384531866218,False,True,0.10162479303303466,False
mfcc_delta2_mean,0.6862119738984875,1.2588144858896113,0.5451255777482872,3.069319931902213,0.08238071545547289,0.5451255777482872,0.021278223562214205,False,True,0.14917589014909954,False
mfcc_7_std,0.7400833951687362,1.2345494793831557,0.5994764952948827,2.785247541271475,0.09778718577025719,0.5994764952948827,0.05160300959999779,False,True,0.1637935361651808,False
spectral_rolloff_std,0.7799651753054363,1.2018704221475904,0.6489594559717488,0.7115386060067282,0.4006402319250215,0.6489594559717488,0.09950904157487225,False,True,0.4709279919118674,False
